bad data: 190
NAME: BossLetsPlays-GhostSmasher.jar, ERROR: No methods present.
NAME: anderson--CircuitSimulator.jar, ROWS: 1, AVERAGE: 1.0
NAME: IkeLevens-tp3d.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: kohsuke-graph-layouter.jar, ROWS: 2, AVERAGE: 1.5
NAME: hohonuuli-mbarix4j.jar, ROWS: 17, AVERAGE: 2.1764705
NAME: tranfong1991-Function-Plotter.jar, ROWS: 8, AVERAGE: 1.25
NAME: songworld-sec4j-toolkit.jar, ROWS: 6, AVERAGE: 1.5
NAME: dphang-game-ai-projects.jar, ROWS: 11, AVERAGE: 1.3636364
NAME: theblackunknown-creative-ecosystems.jar, ROWS: 38, AVERAGE: 2.2631578
NAME: victoriasloan-Carpark.jar, ROWS: 1, AVERAGE: 1.0
NAME: bnoordhuis-Infinite-Adaptive-Mario.jar, ROWS: 1, AVERAGE: 2.0
NAME: nat1192-GraphingCalculator.jar, ROWS: 1, AVERAGE: 1.0
NAME: xushunseu-bookstore.jar, ROWS: 1, AVERAGE: 1.0
NAME: NoelLynch-BigThunkCore.jar, ROWS: 8, AVERAGE: 1.5
NAME: karthikbadam-Munin.jar, ROWS: 19, AVERAGE: 2.631579
NAME: mahinshaw-msproject.jar, ROWS: 1, AVERAGE: 1.0
NAME: Crymes-Pathfinding.jar, ROWS: 8, AVERAGE: 1.0
NAME: b52-mandelbrot.jar, ROWS: 4, AVERAGE: 1.75
NAME: jainsahab-UNO.jar, ROWS: 2, AVERAGE: 1.0
NAME: csp301team-onemore.jar, ROWS: 4, AVERAGE: 1.0
NAME: FredBrockstedt-Gitarre.jar, ROWS: 9, AVERAGE: 1.6666666
NAME: gearlles-natural-computing-pso.jar, ROWS: 2, AVERAGE: 1.0
NAME: lovi9573-Scorekeeper.jar, ROWS: 1, AVERAGE: 1.0
NAME: Ryder96-ZombieMan.jar, ROWS: 1, AVERAGE: 3.0
NAME: edbrown23-TabletopRPG.jar, ROWS: 7, AVERAGE: 1.0
NAME: trec21-csce431-groupe.jar, ROWS: 1, AVERAGE: 1.0
NAME: emilknievel-Breakout-projekt.jar, ROWS: 7, AVERAGE: 1.4285715
NAME: MichaelVdheeren-TUIO-Simulator.jar, ROWS: 10, AVERAGE: 3.7
NAME: vlsi-ksar.jar, ROWS: 1, AVERAGE: 1.0
NAME: xmas92-INDAProject.jar, ROWS: 10, AVERAGE: 2.3
NAME: arya-s-GestureRecognizer.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: falkreon-Signals.jar, ROWS: 1, AVERAGE: 1.0
NAME: Mattie432-Civilization-Wars-Advanced.jar, ROWS: 1, AVERAGE: 1.0
NAME: fhinson-Dijkstra-Street-Mapping.jar, ROWS: 1, AVERAGE: 1.0
NAME: TicTaeToe-TicTacToeGui405.jar, ROWS: 9, AVERAGE: 1.0
NAME: MrLoNee-RadialFx.jar, ROWS: 1, AVERAGE: 1.0
NAME: adamreis-watermelon.jar, ROWS: 3, AVERAGE: 1.0
NAME: nweiskirch-MilitaryMadness.jar, ROWS: 1, AVERAGE: 2.0
NAME: amb8805-calendar.jar, ROWS: 3, AVERAGE: 1.0
NAME: nickpenaranda-act-r-sweeper.jar, ROWS: 1, AVERAGE: 1.0
NAME: Baavgai-Jeu.jar, ROWS: 2, AVERAGE: 1.0
NAME: burakfirik-Pose.jar, ROWS: 22, AVERAGE: 1.7272727
NAME: willyg302-VOR.jar, ROWS: 1, AVERAGE: 1.0
NAME: myggan25-GarfieldGame.jar, ROWS: 4, AVERAGE: 2.0
NAME: spikerbond-term-2-project.jar, ROWS: 2, AVERAGE: 1.5
NAME: Chase-san-Roboflight.jar, ROWS: 1, AVERAGE: 5.0
NAME: inside-java-pong.jar, ROWS: 1, AVERAGE: 2.0
NAME: cricklet-ZRTS-24hr-hackathon.jar, ROWS: 7, AVERAGE: 1.2857143
NAME: underthesun-ExpUI.jar, ROWS: 2, AVERAGE: 1.0
NAME: guiricarte-ProjetoPOO.jar, ROWS: 2, AVERAGE: 2.0
NAME: elementvol-Solve.jar, ROWS: 1, AVERAGE: 5.0
NAME: TigerRampage-Mystica.jar, ROWS: 1, AVERAGE: 3.0
NAME: AlexisBRENON-M1-Rond-Point-Java.jar, ROWS: 2, AVERAGE: 3.0
NAME: rogeriopaguilar-simuladorsemaforos.jar, ROWS: 16, AVERAGE: 2.125
NAME: sokokaleb-sokokaleb-kuliah.jar, ROWS: 6, AVERAGE: 1.0
NAME: mjordanco-csci-400-thread-game.jar, ROWS: 1, AVERAGE: 2.0
NAME: milvergithub-SimuHotel.jar, ROWS: 2, AVERAGE: 1.0
NAME: thnaeff-Util.jar, ROWS: 2, AVERAGE: 1.0
NAME: ryanToth-Drum-Sheet-Music-Making-Tool.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: willham-Brains.jar, ROWS: 4, AVERAGE: 2.0
NAME: GMPC-COMP-GPMC.jar, ROWS: 1, AVERAGE: 1.0
NAME: Bekwnn-Java-Image-Processor.jar, ROWS: 2, AVERAGE: 1.0
NAME: littlebaka-iCraftEvo-Launcher.jar, ROWS: 1, AVERAGE: 1.0
NAME: matmas-pneditor.jar, ROWS: 12, AVERAGE: 2.0833333
NAME: Ardnived-Tics.jar, ROWS: 1, AVERAGE: 2.0
NAME: heuermh-frames-processing.jar, ROWS: 1, AVERAGE: 3.0
NAME: sogeti-java-nl-masters-of-java-software.jar, ROWS: 5, AVERAGE: 1.0
NAME: CHA0S14-ServidoLocalFTP.jar, ROWS: 1, AVERAGE: 1.0
NAME: Anastron-Game.jar, ROWS: 2, AVERAGE: 1.0
NAME: ALPROIIT1582014-1-scaling-octo-ninja.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: bowmessage-Cantro.jar, ROWS: 1, AVERAGE: 2.0
NAME: cric5890-Nao-OCR.jar, ROWS: 1, AVERAGE: 2.0
NAME: bakaspaceman-pacman.jar, ROWS: 1, AVERAGE: 1.0
NAME: Your3Wishes-OffTheClock.jar, ROWS: 1, AVERAGE: 2.0
NAME: marcusbecker-JEG.jar, ROWS: 1, AVERAGE: 2.0
NAME: rynecheow-LSEditor.jar, ROWS: 19, AVERAGE: 1.8421053
NAME: shaolintiger98-Parallel_Demographic.jar, ROWS: 1, AVERAGE: 1.0
NAME: DCHSProgrammingClub-TanksGame.jar, ROWS: 1, AVERAGE: 2.0
NAME: oddvas-leiligheta.jar, ROWS: 1, AVERAGE: 1.0
NAME: drichan-xito.jar, ROWS: 26, AVERAGE: 3.4230769
NAME: JEBailey-posl.jar, ROWS: 6, AVERAGE: 1.1666666
NAME: goodspeed1392-SvgTaskNetbeans.jar, ROWS: 1, AVERAGE: 1.0
NAME: orifanne-Location.jar, ROWS: 5, AVERAGE: 4.6
NAME: SebastianTroy-TComponents.jar, ROWS: 3, AVERAGE: 1.0
NAME: michalharcar-Bomberman.jar, ROWS: 7, AVERAGE: 2.0
NAME: SystemErrors-Nin.jar, ROWS: 14, AVERAGE: 1.0
NAME: SilenyHobit-SUI.jar, ROWS: 2, AVERAGE: 1.5
NAME: Haldaron-Cooperative_Control.jar, ROWS: 3, AVERAGE: 1.0
NAME: samdk-AsteroidsAI.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: joshuafan-Checkers-Applet.jar, ROWS: 3, AVERAGE: 1.0
NAME: birker-fsm.jar, ROWS: 40, AVERAGE: 4.9
NAME: jrbalsano-sheepdog.jar, ROWS: 2, AVERAGE: 1.5
NAME: vakulenkom-BSPLibrary.jar, ROWS: 2, AVERAGE: 1.5
NAME: afodor-metagenomicsTools.jar, ROWS: 26, AVERAGE: 2.0
NAME: alikafridi-CS498.jar, ROWS: 4, AVERAGE: 3.0
NAME: mauricen-masteringlambdas.jar, ROWS: 15, AVERAGE: 1.0
NAME: tobygameac-Beauty-Alarm.jar, ROWS: 6, AVERAGE: 2.0
NAME: maxytakano-101implementation.jar, ROWS: 4, AVERAGE: 1.0
NAME: sosiouxme-DroidDraw.jar, ROWS: 2, AVERAGE: 1.0
NAME: azubkov-ripples.jar, ROWS: 6, AVERAGE: 2.6666667
NAME: tfox12-Geographic-Routing.jar, ROWS: 6, AVERAGE: 1.5
NAME: Benoker-GraphPainting.jar, ROWS: 22, AVERAGE: 2.3181818
NAME: alanwhite-drag-artist.jar, ROWS: 1, AVERAGE: 1.0
NAME: Mandarancio-OpenView.jar, ROWS: 14, AVERAGE: 3.2142856
NAME: greearb-jfreechart-fse-ct.jar, ROWS: 579, AVERAGE: 3.373057
NAME: jwen32-image-java.jar, ROWS: 2, AVERAGE: 5.5
NAME: daizuozhuo-Visual2.jar, ROWS: 4, AVERAGE: 4.5
NAME: Avikash-Mishra-AucklandMap.jar, ROWS: 1, AVERAGE: 1.0
NAME: Jakudza-ARSS-13.jar, ROWS: 1, AVERAGE: 1.0
NAME: Chathura-agentworld.jar, ROWS: 3, AVERAGE: 1.0
NAME: brandonadalesandro-gg.jar, ROWS: 3, AVERAGE: 2.0
NAME: robguderian-GridSim-Gui.jar, ROWS: 1, AVERAGE: 1.0
NAME: themadcreator-delaunay.jar, ROWS: 13, AVERAGE: 3.2307692
NAME: flegall-comique.jar, ROWS: 1, AVERAGE: 2.0
NAME: ebocher-jproj.jar, ROWS: 4, AVERAGE: 1.0
NAME: thewibblywobbly-ColonialAnts.jar, ROWS: 1, AVERAGE: 1.0
NAME: satyajanga-ProstateOriginalImages.jar, ROWS: 5, AVERAGE: 1.0
NAME: chumich1-ThreadGame.jar, ROWS: 1, AVERAGE: 2.0
NAME: PSauvain-SIT213.jar, ROWS: 5, AVERAGE: 1.2
NAME: aristocrates-BatchStereogram.jar, ROWS: 1, AVERAGE: 1.0
NAME: Avoduhcado-Avogine.jar, ROWS: 13, AVERAGE: 2.2307692
NAME: entertailion-Anymote-Media-Beamer.jar, ROWS: 1, AVERAGE: 10.0
NAME: Karloid-Batyushka.jar, ROWS: 1, AVERAGE: 2.0
NAME: JaysonChan-Snake.jar, ROWS: 1, AVERAGE: 1.0
NAME: geritwagner-ServiceSelection.jar, ROWS: 2, AVERAGE: 2.0
NAME: dendevjv-core-java-examples.jar, ROWS: 6, AVERAGE: 2.8333333
NAME: G-ram-NoteRipper.jar, ROWS: 2, AVERAGE: 2.5
NAME: shisful-AlignmentTool.jar, ROWS: 1, AVERAGE: 1.0
NAME: HarryNews-Platformer.jar, ROWS: 35, AVERAGE: 3.5142858
NAME: ogotalski-elevator.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: timendum-pdf2html.jar, ROWS: 1, AVERAGE: 1.0
NAME: prk223-GED.jar, ROWS: 1, AVERAGE: 1.0
NAME: jiajiewu1988-151OO_HW5.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: phoenx97-cs151.mancala.jar, ROWS: 5, AVERAGE: 1.6
NAME: sdghrmz-jvircam.jar, ROWS: 2, AVERAGE: 1.0
NAME: elamre-RealTimeStrategy.jar, ROWS: 1, AVERAGE: 3.0
NAME: colinchilds-bzrflag470agents.jar, ROWS: 9, AVERAGE: 1.8888888
NAME: HomingHamster-OneTwoFourTwo.jar, ROWS: 2, AVERAGE: 1.0
NAME: LightningDev-AngryBird.jar, ROWS: 29, AVERAGE: 2.275862
NAME: anderselton-LuajSnake.jar, ROWS: 14, AVERAGE: 2.0714285
NAME: BeardedMonkey-caoutchouc.jar, ROWS: 1, AVERAGE: 1.0
NAME: tychobrailleur-biogenesis.jar, ROWS: 4, AVERAGE: 3.0
NAME: gdeluca1-SA_PersonalHealthTracker.jar, ROWS: 1, AVERAGE: 3.0
NAME: jtalbert123-Esplora-Platformer.jar, ROWS: 13, AVERAGE: 2.2307692
NAME: f4c0-DnDTabletopEditor.jar, ROWS: 1, AVERAGE: 3.0
NAME: c0m3tx-GraphSim.jar, ROWS: 2, AVERAGE: 1.0
NAME: ArtixAllMighty-Platformer.jar, ROWS: 2, AVERAGE: 1.5
NAME: thorinii-space-colonisation-tree.jar, ROWS: 4, AVERAGE: 1.25
NAME: SillyFreak-schwarmintelligenz.jar, ROWS: 1, AVERAGE: 1.0
NAME: goodsky65-ehud.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: nahakiole-SnakeY.jar, ROWS: 4, AVERAGE: 2.0
NAME: WarMachine1-SOTSLGL.jar, ROWS: 12, AVERAGE: 2.5
NAME: otoconn87-Space-Engineerz.jar, ROWS: 2, AVERAGE: 2.5
NAME: balasundaram29-GraphSoftSubMig.jar, ROWS: 47, AVERAGE: 3.3617022
NAME: melsov-Java-Challenge.jar, ROWS: 105, AVERAGE: 2.0761905
NAME: Forrestjohnston-ImageMapper.jar, ROWS: 6, AVERAGE: 1.0
NAME: BhawaniSingh-ProjectXplorer.jar, ROWS: 2, AVERAGE: 6.0
NAME: SturmB-sky-scheduling.jar, ROWS: 4, AVERAGE: 5.0
NAME: sim82-java_tools.jar, ROWS: 1, AVERAGE: 3.0
NAME: dylanlknowles-loif.jar, ROWS: 1, AVERAGE: 2.0
NAME: jmacglashan-commandsToTasks.jar, ROWS: 8, AVERAGE: 1.0
NAME: SebastianTroy-Pong.jar, ROWS: 3, AVERAGE: 1.0
NAME: WChargin-Customizable2.jar, ROWS: 1, AVERAGE: 1.0
NAME: uw-loci-JCollider.jar, ROWS: 19, AVERAGE: 3.631579
NAME: rzymek-mapgrid.jar, ROWS: 4, AVERAGE: 2.5
NAME: dshr-nephos.jar, ROWS: 2, AVERAGE: 1.0
NAME: gathcon-RetailManagementSystem.jar, ROWS: 2, AVERAGE: 3.0
NAME: AlRedai-Wuuii.jar, ROWS: 1, AVERAGE: 1.0
NAME: jibsch-Socrates.jar, ROWS: 2, AVERAGE: 1.0
NAME: raeffu-prog2.jar, ROWS: 1, AVERAGE: 1.0
NAME: UCSB-CS56-Projects-cs56-games-client-server-v2.jar, ROWS: 1, AVERAGE: 3.0
NAME: ttaomae-robocode-tkt-redshift.jar, ROWS: 5, AVERAGE: 1.4
NAME: hokiecsgrad-Pather.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: mcourteaux-Online-Data-Flower.jar, ROWS: 7, AVERAGE: 2.142857
NAME: Azfar-Badaroudine-Tetris.jar, ROWS: 2, AVERAGE: 1.0
NAME: bippity-GridworldGame.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: Sciumo-Enigma.jar, ROWS: 1, AVERAGE: 2.0
NAME: philippwinter-pacman.jar, ROWS: 1, AVERAGE: 2.0
NAME: FlightOfStairs-TaxiDriver.jar, ROWS: 1, AVERAGE: 1.0
NAME: CSC420-Paintimator.jar, ROWS: 14, AVERAGE: 1.5714285
NAME: tcoxon-mylittleterrorist.jar, ROWS: 2, AVERAGE: 1.5
NAME: birkhoff-FastRPG.jar, ROWS: 1, AVERAGE: 2.0
NAME: omgpotatoes-emr-vis-nlp.jar, ROWS: 8, AVERAGE: 3.25
NAME: kagfupanda-JavaDrawLessons.jar, ROWS: 6, AVERAGE: 1.0
NAME: rehoscript-MazeAgram.jar, ROWS: 16, AVERAGE: 1.6875
NAME: toastyBadger-algoSim-serenity.jar, ROWS: 13, AVERAGE: 2.3076923
NAME: moremagic-JMongo.jar, ROWS: 1, AVERAGE: 1.0
NAME: ttaylorr-maps-mmo.jar, ROWS: 2, AVERAGE: 4.0
NAME: GilangJulianS-TrafficLight.jar, ROWS: 2, AVERAGE: 2.0
NAME: agrant40-gamesTutorial.jar, ROWS: 1, AVERAGE: 4.0
NAME: avidey94-VisualSorter.jar, ROWS: 1, AVERAGE: 1.0
NAME: dukedave-wordsolver.jar, ROWS: 1, AVERAGE: 2.0
NAME: mir1128-easySearchPath.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: mmzhao-Platforming-Game.jar, ROWS: 14, AVERAGE: 1.5714285
NAME: nicolasfranca-InformaticaEtec.jar, ROWS: 1, AVERAGE: 1.0
NAME: toby1984-threadwatch.jar, ROWS: 2, AVERAGE: 2.0
NAME: lenareisinger-Counter-Snake.jar, ROWS: 1, AVERAGE: 1.0
NAME: andreax79-diffusion.jar, ROWS: 2, AVERAGE: 1.5
NAME: louisccc-QRobot.jar, ROWS: 39, AVERAGE: 1.3846154
NAME: bewallyt-Springies.jar, ROWS: 4, AVERAGE: 1.25
NAME: ggleblanc-java.stockmarket.game.jar, ROWS: 20, AVERAGE: 2.85
NAME: Aerr-Infiltration.jar, ROWS: 5, AVERAGE: 2.0
NAME: aaronmjacobs-Vortex.jar, ROWS: 9, AVERAGE: 4.2222223
NAME: TUDelftNAS-graphGEAR.jar, ROWS: 4, AVERAGE: 1.5
NAME: nvikrant-projects.jar, ROWS: 2, AVERAGE: 1.0
NAME: stiderspace-NLT.jar, ROWS: 1, AVERAGE: 3.0
NAME: jonnywei-longquan.jar, ROWS: 1, AVERAGE: 1.0
NAME: asbarber-gridworld-games.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: flexwang-wio-dict.jar, ROWS: 5, AVERAGE: 1.0
NAME: spixi-Dijkstra.jar, ROWS: 5, AVERAGE: 1.2
NAME: POSIX-PB-GranetMiner.jar, ROWS: 1, AVERAGE: 1.0
NAME: ebourg-infonode.jar, ROWS: 12, AVERAGE: 2.0833333
NAME: pdfae-PDFAInspector.jar, ROWS: 45, AVERAGE: 2.0222223
NAME: JeffreyMilner-MazeGame.jar, ROWS: 1, AVERAGE: 2.0
NAME: shumik-darls.jar, ROWS: 10, AVERAGE: 3.0
NAME: statisticalbiotechnology-NonlinearGradientsUI.jar, ROWS: 3, AVERAGE: 2.6666667
NAME: jclinford-Physics.jar, ROWS: 8, AVERAGE: 1.875
NAME: Keerov-Graphx.jar, ROWS: 2, AVERAGE: 1.0
NAME: davidmacrohard-UML-Project.jar, ROWS: 1, AVERAGE: 2.0
NAME: renanmpimentel-faculdade-programacao-ii.jar, ROWS: 2, AVERAGE: 1.0
NAME: goran-mahovlic-LemilicaPictureEditor.jar, ROWS: 2, AVERAGE: 2.0
NAME: maksimrec-launcher.jar, ROWS: 1, AVERAGE: 1.0
NAME: chznight-ECE419Lab3.jar, ROWS: 2, AVERAGE: 2.0
NAME: Vince1988-primethreading.jar, ROWS: 2, AVERAGE: 1.0
NAME: BunsenMcDubbs-octoMineSweep.jar, ROWS: 1, AVERAGE: 2.0
NAME: scdickson-project5.jar, ROWS: 1, AVERAGE: 3.0
NAME: Kyle0Stream-StreamOutlineGUI.jar, ROWS: 1, AVERAGE: 1.0
NAME: phacks-TeXaS.jar, ROWS: 2, AVERAGE: 4.0
NAME: alu0100697032-IAA-Searching.jar, ROWS: 4, AVERAGE: 1.0
NAME: philippepeter-JMuse.jar, ROWS: 2, AVERAGE: 1.0
NAME: msaglimbeni-Tutorial.jar, ROWS: 3, AVERAGE: 1.0
NAME: BlkStormy-epic-inventor.jar, ROWS: 69, AVERAGE: 1.3478261
NAME: marekrei-semgraph.jar, ROWS: 1, AVERAGE: 2.0
NAME: cwc-JApocRL.jar, ROWS: 1, AVERAGE: 1.0
NAME: MaZderMind-MultiWiiOps.jar, ROWS: 4, AVERAGE: 3.75
NAME: Zigsfi-Arthur2d.jar, ROWS: 2, AVERAGE: 3.0
NAME: balazsgrill-html-gallery-gen.jar, ROWS: 3, AVERAGE: 3.0
NAME: danailbd-JavaCore.jar, ROWS: 1, AVERAGE: 1.0
NAME: wozniakjan-graph-relabel-to-front.jar, ROWS: 2, AVERAGE: 2.0
NAME: pandyav-Primary-Flight-Display-PFD-.jar, ROWS: 6, AVERAGE: 1.3333334
NAME: ScottBouloutian-OpenCV-Connect-Four-AI.jar, ROWS: 2, AVERAGE: 3.0
NAME: gauravahuja-Offset.jar, ROWS: 4, AVERAGE: 1.0
NAME: arper-turtle-core.jar, ROWS: 21, AVERAGE: 1.7142857
NAME: krh5058-RaceGame.jar, ROWS: 4, AVERAGE: 2.0
NAME: camilogarzon-nehab.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: neelayjunnarkar-APCS.jar, ROWS: 3, AVERAGE: 2.0
NAME: w0301-KillTheButterfly.jar, ROWS: 12, AVERAGE: 2.4166667
NAME: Tanks-iOS-Java-Version.jar, ROWS: 1, AVERAGE: 2.0
NAME: cdonthini-Coursera.jar, ROWS: 26, AVERAGE: 1.4615384
NAME: kozajaku-nao-cube-project.jar, ROWS: 1, AVERAGE: 1.0
NAME: juanAFernandez-programacionMultimediaJava.jar, ROWS: 1, AVERAGE: 3.0
NAME: benSmith1981-EyetribeReaderTracker.jar, ROWS: 2, AVERAGE: 2.5
NAME: hoesterholt-JRichTextEditor.jar, ROWS: 41, AVERAGE: 7.4390244
NAME: GymDon-P-Q11Info-13-15-game-client.jar, ROWS: 7, AVERAGE: 1.8571428
NAME: jongsml-moro.jar, ROWS: 7, AVERAGE: 3.2857144
NAME: sokin1-jack-sokis-project.jar, ROWS: 2, AVERAGE: 1.0
NAME: k9m-traffic_sim_proto.jar, ROWS: 5, AVERAGE: 1.0
NAME: andreytr-ImageMapEditor.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: baev-lex-parser.jar, ROWS: 1, AVERAGE: 1.0
NAME: edwardfxc-project2_team9.jar, ROWS: 2, AVERAGE: 1.0
NAME: stronglink-FlappyBird.jar, ROWS: 1, AVERAGE: 3.0
NAME: laukvik-LaukvikSwing.jar, ROWS: 7, AVERAGE: 1.2857143
NAME: yksz-java-rpg.jar, ROWS: 3, AVERAGE: 2.0
NAME: drc95-RoverGUI.jar, ROWS: 15, AVERAGE: 2.0
NAME: Kaltsoon-Javalabra.jar, ROWS: 2, AVERAGE: 2.0
NAME: petrbel-Clusters.jar, ROWS: 5, AVERAGE: 1.0
NAME: emabrey-SleekSlick2D.jar, ROWS: 3, AVERAGE: 5.6666665
NAME: mn263-DrawTree.jar, ROWS: 17, AVERAGE: 2.8235295
NAME: Kuloud-K-SJ.jar, ROWS: 2, AVERAGE: 1.0
NAME: Tankistodor-BadDayLauncher.jar, ROWS: 1, AVERAGE: 1.0
NAME: loganperreault-SWARM.jar, ROWS: 5, AVERAGE: 1.0
NAME: neandrake-jircii.jar, ROWS: 1, AVERAGE: 1.0
NAME: nmred-study_test.jar, ROWS: 1, AVERAGE: 1.0
NAME: nick111-perceptron.jar, ROWS: 5, AVERAGE: 1.6
NAME: frawg-SS14-2DGUI.jar, ROWS: 1, AVERAGE: 2.0
NAME: jonnywei-haijia.jar, ROWS: 1, AVERAGE: 1.0
NAME: rdkgit-rdkrepo.jar, ROWS: 5, AVERAGE: 2.6
NAME: smack42-DriftingDroids.jar, ROWS: 2, AVERAGE: 2.5
NAME: tbepler-seq-svm.jar, ROWS: 3, AVERAGE: 1.0
NAME: joeldenning-cs470.jar, ROWS: 6, AVERAGE: 1.8333334
NAME: chindesaurus-BarnesHut-N-Body.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: Eyenseo-Monopoly.jar, ROWS: 1, AVERAGE: 1.0
NAME: crazysaem-easy-pc.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: BrunoPereiraSantos-NewSinkBet.jar, ROWS: 2, AVERAGE: 1.0
NAME: Gatou-RpgEditor.jar, ROWS: 1, AVERAGE: 2.0
NAME: ethanhjennings-GravSim.jar, ROWS: 7, AVERAGE: 2.4285715
NAME: corbos-robocode.jar, ROWS: 41, AVERAGE: 1.4634147
NAME: Steve525-clustering.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: yinchuandong-JavaMusicMe.jar, ROWS: 1, AVERAGE: 4.0
NAME: abom-snake-game.jar, ROWS: 18, AVERAGE: 1.6666666
NAME: ivan-vasilev-neuralnetworks.jar, ROWS: 2, AVERAGE: 6.5
NAME: DiogenesDias-SimMS.jar, ROWS: 1, AVERAGE: 1.0
NAME: mbtaylor-jsamp.jar, ROWS: 2, AVERAGE: 1.0
NAME: freakk82-FreakkDrumsDesktop.jar, ROWS: 4, AVERAGE: 1.5
NAME: maxsmiley-breed.jar, ROWS: 2, AVERAGE: 1.5
NAME: asmailov-2D_Affine_Transformation.jar, ROWS: 1, AVERAGE: 1.0
NAME: Nakato53-nakato.angine.jar, ROWS: 2, AVERAGE: 2.5
NAME: 2m-toh.jar, ROWS: 6, AVERAGE: 2.1666667
NAME: ScottKolo-SChemP.jar, ROWS: 11, AVERAGE: 1.4545455
NAME: martinmarinov-HonProj.jar, ROWS: 6, AVERAGE: 2.1666667
NAME: jselbo-LodeRunner.jar, ROWS: 1, AVERAGE: 2.0
NAME: Astalion-CubeMaker.jar, ROWS: 1, AVERAGE: 2.0
NAME: nolliepoper-Temp.jar, ROWS: 2, AVERAGE: 2.0
NAME: AnassTeemo-Jump_Game.jar, ROWS: 9, AVERAGE: 2.1111112
NAME: ChicoSystems-Space-Game.jar, ROWS: 38, AVERAGE: 1.7631578
NAME: lordoku-ComputerVisionTutorial.jar, ROWS: 2, AVERAGE: 1.5
NAME: trejbja1-A0B36PR2.jar, ROWS: 1, AVERAGE: 1.0
NAME: deric-jgraph-search-gui.jar, ROWS: 7, AVERAGE: 2.142857
NAME: kevanlu-Kappa.jar, ROWS: 64, AVERAGE: 2.765625
NAME: UCSB-CS56-Projects-cs56-discretemath-towers-sierpinski.jar, ROWS: 8, AVERAGE: 2.5
NAME: fingerco-MazeGame.jar, ROWS: 1, AVERAGE: 1.0
NAME: brunomueller-brm.webcamrec.jar, ROWS: 1, AVERAGE: 2.0
NAME: WChargin-JGame.jar, ROWS: 35, AVERAGE: 2.2285714
NAME: erzr2-ZbwTrainingGen.jar, ROWS: 1, AVERAGE: 1.0
NAME: rbandee-testrepo1.jar, ROWS: 1, AVERAGE: 1.0
NAME: VI51WorldWar-VI51_WorldWar.jar, ROWS: 1, AVERAGE: 1.0
NAME: mvaganov-platformer.jar, ROWS: 30, AVERAGE: 1.8
NAME: jjensen2700-Commander.jar, ROWS: 4, AVERAGE: 1.0
NAME: brianh014-RoboMotionPlanner.jar, ROWS: 2, AVERAGE: 3.0
NAME: ShawnShoper-ESM_Spider.jar, ROWS: 1, AVERAGE: 2.0
NAME: User-Unknown-Ultimate_Pocket_Foosball.jar, ROWS: 4, AVERAGE: 1.5
NAME: andrest-robot.jar, ROWS: 1, AVERAGE: 1.0
NAME: simondate-OnlinePong.jar, ROWS: 2, AVERAGE: 2.0
NAME: propra12-orga-gruppe15.jar, ROWS: 1, AVERAGE: 2.0
NAME: IF-JAJAGA-devoo.jar, ROWS: 1, AVERAGE: 1.0
NAME: Oddsor-HomeSim.jar, ROWS: 17, AVERAGE: 1.4117647
NAME: sina-masoud-ansari-ImageJ.jar, ROWS: 48, AVERAGE: 2.9375
NAME: nickstanish-TicTacToe3D.jar, ROWS: 1, AVERAGE: 1.0
NAME: mrpixeldream-CarSimulation.jar, ROWS: 1, AVERAGE: 1.0
NAME: PedroGutierrez-1DAW-programacion-Examenes.jar, ROWS: 3, AVERAGE: 1.0
NAME: nathanr123-rmopp.jar, ROWS: 1, AVERAGE: 3.0
NAME: RBVI-cddApp.jar, ROWS: 1, AVERAGE: 1.0
NAME: GitRuoya-DungeonGame.jar, ROWS: 4, AVERAGE: 1.0
NAME: YongDing-Robot.jar, ROWS: 3, AVERAGE: 1.0
NAME: SecurityManagerCodeBase-SecurityManagerStaticAnalysis.jar, ROWS: 1, AVERAGE: 1.0
NAME: YuliReiri-FunTest.jar, ROWS: 15, AVERAGE: 1.2666667
NAME: spratt-PrioritySearchTree.jar, ROWS: 4, AVERAGE: 1.25
NAME: CheeseSucker-sort-visualizer.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: Tomschi-uni-foop_ss14-ass1.jar, ROWS: 1, AVERAGE: 1.0
NAME: esneider-ITBA_POO_10_Sokoban.jar, ROWS: 1, AVERAGE: 2.0
NAME: sannysanoff-potracej.jar, ROWS: 1, AVERAGE: 5.0
NAME: bytestream-Screenshot.jar, ROWS: 1, AVERAGE: 2.0
